OrderID,ProductID,ProductName,Category,UnitPrice,Quantity,TotalPrice,CustomerID,OrderDate
1001,P1001,Shoes,Footwear,50.0,2,100.0,C1001,2023-09-01
1002,P1002,Jeans,Apparel,30.0,3,90.0,C1002,2023-09-02
1003,P1003,Shirts,Apparel,25.0,5,125.0,C1003,2023-09-02
1004,P1004,Mobile Phones,Electronics,500.0,1,500.0,C1004,2023-09-03
1005,P1001,Shoes,Footwear,45.0,4,180.0,C1001,2023-09-04
1006,P1005,Laptops,Electronics,1000.0,2,2000.0,C1005,2023-09-05
1007,P1006,Headphones,Electronics,80.0,3,240.0,C1002,2023-09-06
1008,P1007,Perfumes,Beauty,35.0,6,210.0,C1006,2023-09-06
1009,P1008,Watches,Accessories,70.0,2,140.0,C1003,2023-09-07
1010,P1004,Mobile Phones,Electronics,480.0,3,1440.0,C1004,2023-09-08
1011,P1009,Handbags,Accessories,40.0,4,160.0,C1007,2023-09-09
1012,P1002,Jeans,Apparel,28.0,2,56.0,C1008,2023-09-10
1013,P1003,Shirts,Apparel,26.0,3,78.0,C1009,2023-09-10
1014,P1004,Mobile Phones,Electronics,510.0,1,510.0,C1010,2023-09-11
1015,P1005,Laptops,Electronics,950.0,2,1900.0,C1001,2023-09-12
1016,P1001,Shoes,Footwear,48.0,3,144.0,C1002,2023-09-13
1017,P1006,Headphones,Electronics,85.0,4,340.0,C1003,2023-09-14
1018,P1007,Perfumes,Beauty,37.0,5,185.0,C1004,2023-09-14
1019,P1008,Watches,Accessories,65.0,2,130.0,C1005,2023-09-15
1020,P1009,Handbags,Accessories,45.0,3,135.0,C1006,2023-09-16
